名称,星级,地址,热度,销量,价格,评论数量
名称,星级,地址,热度,销量,价格,评论数量
启航海钓俱乐部,[,山东·青岛·市南区, 0.0,43,180,0
石老人,],山东·青岛·崂山区, 0.0,71,215,0
天泽帆船运动俱乐部,[,山东·青岛, 0.0,94,1500,0
承大游艇海钓俱乐部,],山东·青岛·奥帆中心, 0.0,51,220,0
青岛大学,[,山东·青岛·崂山区, 0.74,47,230,0
青岛天正飞行体验中心,],山东·青岛·平度, 0.0,60,398,0
极悦雪室内滑雪空间（海信广场店）,[,山东·青岛·市南区, 0.0,46,1080,0
孔子六艺文化园,],山东·青岛·胶州, 0.0,34,2200,0
名称,星级,地址,热度,销量,价格,评论数量
启航海钓俱乐部,[,山东·青岛·市南区, 0.0,41,180,0
石老人,],山东·青岛·崂山区, 0.0,39,215,0
天泽帆船运动俱乐部,[,山东·青岛, 0.0,89,1500,0
承大游艇海钓俱乐部,],山东·青岛·奥帆中心, 0.0,32,220,0
青岛大学,[,山东·青岛·崂山区, 0.74,99,230,0
青岛天正飞行体验中心,],山东·青岛·平度, 0.0,37,398,0
极悦雪室内滑雪空间（海信广场店）,[,山东·青岛·市南区, 0.0,96,1080,0
孔子六艺文化园,],山东·青岛·胶州, 0.0,71,2200,0
青岛蓝树谷青少年世博园,[,山东·青岛·平度, 0.0,0,0,7
玫瑰小镇,],山东·青岛·即墨区, 0.0,0,0,10
天泰温泉,[,山东·青岛·青岛温泉度假村, 0.7,0,0,11
信号山公园,],山东·青岛·市南区, 0.72,0,0,630
太平宫,[,山东·青岛·崂山区, 0.7,0,0,5
二月二农场,],山东·青岛·崂山区, 0.0,0,0,
即墨温泉,[,山东·青岛·即墨区, 0.0,0,0,4
,,,,,,
《乾隆潮》青岛万象城站,[,山东·青岛·市南区, 0.0,0,0,6
四季亲子欢乐农场,],山东·青岛·城阳区, 0.0,0,0,7
猎鹰滑翔,[,山东·青岛·青岛金沙滩景区, 0.0,0,0,2
沐青汤泉(崂山店),],山东·青岛·崂山区, 0.0,0,0,2
沐青汤泉（绿城店）,[,山东·青岛·李沧区, 0.0,0,0,6
青岛海上嘉年华主题乐园,],山东·青岛, 0.0,0,0,59
青岛德国监狱旧址博物馆,[,山东·青岛·市南区, 0.0,0,0,3908
青岛毛公山七彩花海乐园,],山东·青岛·城阳区, 0.0,0,0,2
青岛青峰毛公山,[,山东·青岛·城阳区, 0.0,0,0,10
青岛市民俗博物馆,],山东·青岛·市南区, 0.0,0,0,6
名称,星级,地址,热度,销量,价格,评论数量
名称,星级,地址,热度,销量,价格,评论数量
名称,星级,地址,热度,销量,价格,评论数量
名称,星级,地址,热度,销量,价格,评论数量
名称,星级,地址,热度,销量,价格,评论数量
名称,星级,地址,热度,销量,价格,评论数量
启航海钓俱乐部,[,山东·青岛·市南区, 0.0,79,180,0
石老人,],山东·青岛·崂山区, 0.0,84,215,0
天泽帆船运动俱乐部,[,山东·青岛, 0.0,60,1500,0
承大游艇海钓俱乐部,],山东·青岛·奥帆中心, 0.0,55,220,0
青岛大学,[,山东·青岛·崂山区, 0.74,35,230,0
青岛天正飞行体验中心,],山东·青岛·平度, 0.0,52,398,0
极悦雪室内滑雪空间（海信广场店）,[,山东·青岛·市南区, 0.0,30,1080,0
孔子六艺文化园,],山东·青岛·胶州, 0.0,83,2200,0
青岛蓝树谷青少年世博园,[,山东·青岛·平度, 0.0,0,0,7
玫瑰小镇,],山东·青岛·即墨区, 0.0,0,0,10
天泰温泉,[,山东·青岛·青岛温泉度假村, 0.7,0,0,11
信号山公园,],山东·青岛·市南区, 0.72,0,0,630
太平宫,[,山东·青岛·崂山区, 0.7,0,0,5
二月二农场,],山东·青岛·崂山区, 0.0,0,0,
即墨温泉,[,山东·青岛·即墨区, 0.0,0,0,4
,,,,,,
《乾隆潮》青岛万象城站,[,山东·青岛·市南区, 0.0,0,0,6
四季亲子欢乐农场,],山东·青岛·城阳区, 0.0,0,0,7
猎鹰滑翔,[,山东·青岛·青岛金沙滩景区, 0.0,0,0,2
沐青汤泉(崂山店),],山东·青岛·崂山区, 0.0,0,0,2
沐青汤泉（绿城店）,[,山东·青岛·李沧区, 0.0,0,0,6
青岛海上嘉年华主题乐园,],山东·青岛, 0.0,0,0,59
青岛德国监狱旧址博物馆,[,山东·青岛·市南区, 0.0,0,0,3908
青岛毛公山七彩花海乐园,],山东·青岛·城阳区, 0.0,0,0,2
青岛青峰毛公山,[,山东·青岛·城阳区, 0.0,0,0,10
青岛市民俗博物馆,],山东·青岛·市南区, 0.0,0,0,6
